lei,name
QOT5WN9RBKQTFRVKEV31,Bank of the West
549300NNL9H573MWO110,Bank of Utah
54930044G6TGPFFTFM49,Bank of Washington
549300Q4JBLTKDC7J303,"Bank of Whittier, National Association"
II61D6IY86YZ37HBBL25,Bankers Trust Company
WE0I402RW25AU38DTI13,Banner Bank
C398JSK21YCXWM603F55,"Barrington Bank & Trust Company, N.A."
549300S8SHBRCI7UU819,Baxter Credit Union
54930002O9LLXKR6TF11,BAY-VALLEY MORTGAGE GROUP
549300PL8ER6H23P0Z91,BAY EQUITY LLC
549300PEWJWBNEOSS013,"BAYSHORE MORTGAGE FUNDING, LLC"
C90VT034M03BN29IRA40,BBVA USA
549300G4JDIJPBEO8J84,BECKAM FUNDING CORP.
549300OHLAHJ10DFF198,BELEM SERVICING LLC
549300WYBPIWKK6SQC06,Bell Bank
549300RFPLMCMJL7BS81,"BELLWETHER ENTERPRISE REAL ESTATE CAPITAL, LLC"
549300GNIV169ZIHU012,BERKADIA COMMERCIAL MORTGAGE LLC
549300HINJH60UG3KG47,BERKELEY POINT CAPITAL LLC
549300CEGZGHVQG0OD32,BEST CAPITAL FUNDING
5493002UTIS7AQUDFF80,"BEST FINANCE CAPITAL, INC."
549300KTR1JGH3K6LU06,Bethpage Federal Credit Union
549300XY701IELCE5Q08,BETTER MORTGAGE CORPORATION
549300ILIUB22RTQKQ27,"BKCO MORTGAGE, LLC"
2549001R6R928Y08SC30,"Black Hills Community Bank, National Association"
549300M2Z8GR3VL0QQ74,BLACK HILLS FEDERAL CREDIT UNION
5493007WZXR2YE227I23,"Blue Ridge Bank, National Association"
549300AI4ZHB6MX23W09,"BLUELEAF LENDING, LLC"
54930091CYUK2SDZ6D37,"BM Real Estate Services, Inc."
549300LGE7I6F2K89769,BMI Federal Credit Union
3Y4U8VZURTYWI1W2K376,BMO Harris Bank National Association
549300LH06ZZHKPX5U83,BNC National Bank
4EP6JBYBTPTQ47LZOB67,"BNY Mellon, National Association"
549300KM40FP4MSQU941,Boeing Employees Credit Union
FU7RSW4CQQY98A2O7J66,"BOKF, National Association"
549300RZ68QC00DWOC19,BOURNS EMPLOYEES FEDERAL CREDIT UNION
RA4FKR1AA05ZK88M8034,Broadway National Bank
549300E2UX99HKDBR481,"BROKER SOLUTIONS, INC."
549300O7SGM8FH65GQ47,Busey Bank
254900KE9OJJUH139Q12,Byron Bank
549300CM7HYHZ1MEJ624,Cache Valley Bank
254900IO72BNE5PL8P26,"CALCAP Lending, LLC"
549300NFPC3Y4W3Y7R87,CALCON MUTUAL MORTGAGE LLC
549300T7TLOJ8X6X8T43,CALCULATED RISK ANALYTICS LLC
54930001GYIWKBD35H65,"Calhoun County Bank, Inc."
549300J7XKT2BI5WX213,"CALIBER HOME LOANS, INC."
254900JH47ETFGVNKS92,Call Federal Credit Union
54930035U7Q80J7HTS79,CAMPOS FINANCIAL CORP.
5493004KGZVI015KO609,CANOPY
549300ZWNETGFXTBBY03,"CANOPY MORTGAGE, LLC"
549300E3QJQLKVB40W93,CANVAS CREDIT UNION
54930044OSTKOJMHF287,"Capital Bank, National Association"
207ALC1P1YM0OVDV0K75,"Capital One, National Association"
5493008WOGGD8641UC13,"CAPSTONE DIRECT, INC."
549300VORTI31GZTJL53,"CARDINAL FINANCIAL COMPANY, LIMITED PARTNERSHIP"
549300R9S3MVDV4MGF56,"Carrington Mortgage Services, LLC"
549300CP7747DCRW6U68,Carrollton Bank
549300OTNSBY6RS8HU51,CASCADE FEDERAL CREDIT UNION
549300DU4JZVSGF3G964,Cashmere Valley Bank
549300JRDGV1559XM376,"CASTLE & COOKE MORTGAGE, LLC"
549300V1IRRYSYRSPU54,CASTPARTS EMPLOYEES
FT6J43S06X6CLJ0R0B48,Cathay Bank
549300IBT3SCF2K09D58,"CBRE MULTIFAMILY CAPITAL, INC."
549300OV8NE5ZPEPMF52,"CELEBRITY HOME LOANS, LLC"
549300BEFX6JRSCS5N78,Centennial Bank
5493001XZBZCQEIYKY53,"CENTER STREET LENDING VIII, LLC"
549300ZQKLX5VHD8E865,CENTRAL BANK OF ST. LOUIS
549300ZGCIDP1G72QO72,"Cf Bank, National Association"
549300INFJ8TYNZ1G568,"Charles Schwab Bank, SSB"
